ticker,name,market,country,sector,price,currency,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
WLDN,WLDN,USA,—,—,91.54,USD,1383.2,391.0,-23.1,-44.69,Bearish,Strong BUY,52.56,681.6,1.56,2026-05-14T17:28:22.799023
WRB,WRB,USA,—,—,66.07,USD,24597.3,2109.9,-44.71,-45.78,OVERSOLD,Strong BUY,1779.4,14639.9,,2026-05-14T17:28:23.262843
PDYN,PDYN,USA,—,—,6.61,USD,312.3,2441.8,-47.49,-49.42,OVERSOLD,Strong BUY,10.04,5.2,9.22,2026-05-14T17:28:23.276428
GBX,GBX,USA,—,—,49.08,USD,1518.5,406.5,-22.7,-23.57,Bearish,BUY,204.1,3240.2,1.58,2026-05-14T17:28:23.332990
TKO,TKO,USA,—,—,194.98,USD,14617.2,1358.5,-57.14,-60.03,OVERSOLD,Strong BUY,195.4,4735.2,1.23,2026-05-14T17:28:23.363663
WBD,WBD,USA,—,—,27.16,USD,68093.8,23511.0,-51.59,-53.66,OVERSOLD,Strong BUY,727.0,37296.0,1.06,2026-05-14T17:28:23.786491
MMSI,MMSI,USA,—,—,62.97,USD,3756.5,825.5,-75.29,-76.8,OVERSOLD,Strong BUY,128.49,1515.9,2.95,2026-05-14T17:28:24.234653
CDE,CDE,USA,—,—,19.67,USD,20354.0,25522.6,-43.42,-44.82,OVERSOLD,Strong BUY,585.87,2070.1,1.66,2026-05-14T17:28:24.772638
MMM,MMM,USA,—,—,146.57,USD,76446.1,3866.2,-54.31,-55.43,OVERSOLD,Strong BUY,3250.0,24948.0,1.33,2026-05-14T17:28:24.773065
CNMD,CNMD,USA,—,—,36.54,USD,1100.2,444.2,-37.01,-40.05,Bearish,Strong BUY,47.05,1374.7,1.01,2026-05-14T17:28:24.940939
STRA,STRA,USA,—,—,79.27,USD,1801.8,326.6,16.64,16.11,Bullish,BUY,126.61,1268.2,1.27,2026-05-14T17:28:25.654526
HLIO,HLIO,USA,—,—,77.76,USD,2569.7,376.6,10.76,-1.88,Bullish,BUY,48.4,839.0,1.58,2026-05-14T17:28:25.746631
CME,CME,USA,—,—,297.87,USD,107936.0,2362.8,-34.39,-32.8,Bearish,Strong BUY,4072.2,6520.6,1.03,2026-05-14T17:28:25.913314
ENPH,ENPH,USA,—,—,47.17,USD,6217.6,6011.6,-21.42,-40.87,Bearish,Strong BUY,172.13,1473.0,1.84,2026-05-14T17:28:26.018345
REGN,REGN,USA,—,—,717.0,USD,75169.6,684.1,-33.62,-37.69,Bearish,Strong BUY,4504.9,14342.9,3.39,2026-05-14T17:28:26.289385
MDT,MDT,USA,—,—,76.74,USD,98525.3,8855.5,-85.82,-86.07,OVERSOLD,Strong BUY,4662.0,33537.0,1.42,2026-05-14T17:28:26.436223
RPD,RPD,USA,—,—,6.26,USD,418.0,2204.6,-19.73,-39.24,Bearish,Strong BUY,23.38,859.8,1.28,2026-05-14T17:28:27.105647
STE,STE,USA,—,—,216.2,USD,21219.4,807.7,-44.2,-50.91,OVERSOLD,Strong BUY,614.64,5459.5,1.39,2026-05-14T17:28:27.167074
PWR,PWR,USA,—,—,774.05,USD,116154.1,1148.9,82.84,82.11,OVERBOUGHT,BUY,1028.38,28479.7,1.09,2026-05-14T17:28:27.871741
CDRE,CDRE,USA,—,—,31.03,USD,1328.0,428.1,-70.49,-74.44,OVERSOLD,Strong BUY,44.14,610.3,2.54,2026-05-14T17:28:28.113221
