ticker,name,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,eps_ttm,sales_ttm_mln,quick_ratio,roic,debt_equity,gross_margin,eps_q0,eps_q1,eps_q4,eps_qoq,eps_yoy,scanned_at,market,smi,smi_ema,zone,signal,divergence_bull,divergence_desc,vol_confirm,rs_12m,wyckoff_score,wyckoff_phase,wyckoff_dist,wyckoff_dsig,d1_signal_now,d1_zone_now,d1_last_cross_days_ago,early_signal,tech_score,fuzzy_score,fuzzy_rescue,m_zone,m_bullish,m_risk_warning,mtf_score
TSSI,TSSI,--,--,9.15,USD,21.77,58.0,258.2,856.1,,245.7,1.41,0.3961,0.543,0.1318,0.05,0.08,0.06,-37.5,-16.7,2026-09-10T15:17:31.786304,USA,-69.11,-71.02,OVERSOLD,Strong BUY,False,,False,,4,C,False,['UT High=17.49 Close=16.48 (vol 1.7x)'],False,Bullish,2,False,12,69.7,False,--,False,False,
DOCN,DOCN,--,--,131.81,USD,187.5,29.7,15498.2,3222.0,,901.4,0.69,0.1629,,0.5986,0.29,0.15,0.39,93.3,-25.6,2026-09-10T15:17:35.639063,USA,-50.21,-56.43,OVERSOLD,Strong BUY,False,,False,,5,D,False,['UT High=94.66 Close=75.59 (vol 2.5x)'],False,OVERBOUGHT,2,False,12,61.2,False,--,False,False,
IPGP,IPGP,--,--,78.8,USD,155.82,49.4,3351.7,461.3,,1003.8,4.74,0.0089,0.008,0.38,0.12,0.04,0.16,200.0,-25.0,2026-09-10T15:17:33.684324,USA,-68.55,-70.4,OVERSOLD,Strong BUY,False,,False,,4,C,False,[],False,OVERBOUGHT,7,False,11,71.7,False,--,False,False,
SEDG,SEDG,--,--,33.85,USD,81.25,58.3,2082.9,2931.4,,1184.4,1.48,-0.2487,0.973,0.1657,-0.5,-0.95,-2.13,47.4,76.5,2026-09-10T15:17:36.920292,USA,-79.03,-80.98,OVERSOLD,Strong BUY,False,,False,,4,D,False,['UT High=65.16 Close=61.95 (vol 1.5x)'],False,Bullish,9,False,11,51.4,False,--,False,False,
WMT,WMT,--,--,106.01,USD,135.16,21.6,841056.5,24270.4,,713163.0,0.24,0.1354,0.674,0.2493,0.8,0.67,0.88,19.4,-9.1,2026-09-10T15:17:43.108469,USA,-56.38,-56.71,OVERSOLD,Strong BUY,True,"div_bull (cena -5.6%, SMI +1.2)",False,,0,–,False,['BC przy 118.94 (vol 5.1x)'],False,Bullish,4,False,11,35.9,False,--,False,False,
CLS,CLS,--,--,332.11,USD,474.03,29.9,41882.8,2392.6,,12390.9,0.88,0.3384,0.35,0.1206,3.2075,1.83,1.82,75.3,76.2,2026-09-10T15:17:46.252184,USA,-36.79,-46.17,Bearish,Strong BUY,True,"div_bull (cena -1.6%, SMI +1.3)",False,,0,–,False,['UT High=474.03 Close=371.71 (vol 1.4x)'],False,OVERBOUGHT,4,False,11,58.0,False,--,False,False,
APLD,APLD,--,--,26.77,USD,50.72,47.2,7610.8,18545.9,,611.3,4.01,-0.0243,2.969,0.2579,-0.39,-0.36,-0.24,-8.3,-62.5,2026-09-10T15:17:39.818672,USA,-60.99,-61.83,OVERSOLD,Strong BUY,False,,False,,4,D,False,[],False,Bullish,2,False,10,43.6,False,--,False,False,
SNEX,SNEX,--,--,69.12,USD,94.66,27.0,8361.0,1249.7,,132378.2,1.53,0.0668,7.789,0.0195,0.6667,2.07,0.5422,-67.8,23.0,2026-09-10T15:17:46.571884,USA,-59.65,-61.17,OVERSOLD,Strong BUY,False,,False,,4,D,False,[],False,Bullish,3,False,10,26.0,False,--,False,False,
SEI,SEI,--,--,66.1,USD,86.19,23.3,4351.5,2944.0,,622.2,2.87,0.0665,1.912,0.3232,0.26,0.32,0.3,-18.8,-13.3,2026-09-10T15:17:30.092945,USA,-25.21,-34.53,Bearish,Strong BUY,True,"div_bull (cena -3.0%, SMI +16.9)",False,,2,A,False,['UT High=81.10 Close=72.20 (vol 1.3x)'],False,OVERBOUGHT,3,False,9,33.8,False,--,False,False,
HUT,HUT,--,--,91.98,USD,140.8,34.7,11337.4,4574.3,,235.1,1.09,-0.0345,0.302,0.5416,-1.27,-1.98,1.18,35.9,-207.6,2026-09-10T15:17:35.641005,USA,-52.56,-56.3,OVERSOLD,Strong BUY,False,,False,,0,–,False,[],False,OVERBOUGHT,4,False,9,65.2,False,--,False,False,
CHRW,CHRW,--,--,152.23,USD,210.33,27.6,17788.3,1738.2,,16232.8,1.53,0.2107,0.756,0.0837,1.56,1.22,1.26,27.9,23.8,2026-09-10T15:17:36.736224,USA,-74.77,-71.34,OVERSOLD,Turning Up,False,,False,,4,C,False,['SOW: vol spadkowy 1.5x > wzrostowy'],False,Bullish,2,False,9,57.8,False,--,False,False,
MIR,MIR,--,--,16.31,USD,30.28,46.1,3967.9,4069.5,,925.4,2.34,0.0164,0.661,0.474,0.03,-0.01,0.0,400.0,,2026-09-10T15:17:39.344022,USA,-28.66,-40.19,Bearish,Strong BUY,False,,False,,4,C,False,[],False,OVERBOUGHT,6,False,9,73.6,False,--,False,False,
TKO,TKO,--,--,188.96,USD,226.94,16.7,13815.1,1301.2,,4735.2,1.23,0.0572,1.087,0.5981,1.34,1.12,1.17,19.6,14.5,2026-09-10T15:17:39.770034,USA,-44.92,-45.83,OVERSOLD,Strong BUY,False,,False,,0,–,False,[],False,Bullish,2,False,9,46.5,False,--,False,False,
KEEL,KEEL,--,--,3.6,USD,7.37,51.2,2220.2,41541.9,,229.3,5.52,-0.1692,1.22,-0.0825,-0.11,-0.24,-0.11,54.2,0.0,2026-09-10T15:17:45.157116,USA,-71.21,-72.11,OVERSOLD,Strong BUY,False,,False,,2,A,False,['UT High=7.37 Close=6.03 (vol 2.1x)'],False,Bullish,3,False,9,48.2,False,--,False,False,
GRDN,GRDN,--,--,43.8,USD,47.02,6.8,2774.4,405.6,,1448.7,1.11,0.2602,0.181,0.2021,0.34,0.21,0.14,61.9,142.9,2026-09-10T15:17:45.866454,USA,-21.88,-29.78,Bearish,Strong BUY,False,,False,,2,A,False,['UT High=38.71 Close=37.99 (vol 1.9x)'],False,OVERBOUGHT,6,False,9,54.9,False,--,False,False,
