ticker,name,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,eps_ttm,sales_ttm_mln,quick_ratio,roic,debt_equity,gross_margin,eps_q0,eps_q1,eps_q4,eps_qoq,eps_yoy,scanned_at,market,smi,smi_ema,zone,signal,divergence_bull,divergence_desc,vol_confirm,rs_12m,wyckoff_score,wyckoff_phase,wyckoff_dist,wyckoff_dsig,d1_signal_now,d1_zone_now,d1_last_cross_days_ago,early_signal,tech_score,fuzzy_score,fuzzy_rescue,m_zone,m_bullish,m_risk_warning,mtf_score
FIGR,FIGR,--,--,28.62,USD,78.0,63.3,6327.9,3818.7,,434.5,2.2,0.3772,0.769,0.9321,0.18,0.06,-0.0039,200.0,4676.7,2026-08-08T22:09:46.681226,USA,-59.45,-59.59,OVERSOLD,Strong BUY,False,,False,,0,–,False,[],False,Bullish,2,False,11,95.1,False,--,False,False,3
BIDU,BIDU,--,--,109.71,USD,165.3,33.6,37212.2,2503.2,,,,,,,,,,,,2026-08-08T22:10:02.252634,USA,-57.79,-58.43,OVERSOLD,Strong BUY,False,,False,,5,D,False,[],False,Bullish,5,False,9,62.0,False,--,False,False,3
NN,NN,--,--,16.31,USD,24.42,33.2,2225.3,2616.4,,,,,,,,,,,,2026-08-08T22:10:06.775725,USA,-67.99,-68.54,OVERSOLD,Strong BUY,False,,True,,2,A,False,['UT High=24.42 Close=21.60 (vol 1.6x)'],False,OVERBOUGHT,6,False,9,60.7,False,--,False,False,2
CNM,CNM,--,--,46.55,USD,67.18,30.7,8713.8,2390.0,,,,,,,0.57,0.37,0.52,54.1,9.6,2026-08-08T22:10:01.421343,USA,-56.53,-59.9,OVERSOLD,Strong BUY,False,,False,,0,–,False,[],False,OVERBOUGHT,5,False,8,61.9,False,--,False,False,2
AVXL,AVXL,--,--,3.34,USD,11.7,71.5,309.5,1246.6,,,,,,,,,,,,2026-08-08T22:10:06.872296,USA,-5.28,-32.09,Bearish,Strong BUY,True,"div_bull (cena -4.4%, SMI +7.6)",False,,0,–,False,[],False,OVERBOUGHT,13,False,8,100.0,False,--,False,False,1
GILT,GILT,--,--,11.23,USD,20.93,46.3,847.5,869.0,,451.7,,,,0.2952,,,,,,2026-08-08T22:09:59.262326,USA,-82.57,-84.22,OVERSOLD,Strong BUY,False,,False,,0,–,False,['UT High=20.93 Close=15.19 (vol 2.1x)'],False,Bullish,5,False,7,70.7,True,--,False,False,3
SNDL,SNDL,--,--,1.23,USD,2.89,57.4,320.2,1992.4,,,,,,,,,,,,2026-08-08T22:09:59.335924,USA,-68.63,-69.09,OVERSOLD,Strong BUY,False,,False,,0,–,False,['SOW: vol spadkowy 1.3x > wzrostowy'],False,OVERSOLD,5,False,7,100.0,False,--,False,False,3
PLAB,PLAB,--,--,32.65,USD,56.0,41.7,1925.2,1524.5,,849.3,4.99,0.1557,0.005,0.353,0.54,0.74,0.15,-27.0,260.0,2026-08-08T22:09:58.901615,USA,-69.82,-74.72,OVERSOLD,Strong BUY,False,,False,,0,–,True,"['BC przy 36.31 (vol 5.4x)', 'UT High=45.40 Close=37.43 (vol 1.7x)', 'SOW: vol spadkowy 1.6x > wzrostowy']",False,OVERBOUGHT,4,False,7,73.7,False,--,False,False,2
TMC,TMC,--,--,4.57,USD,11.35,59.7,1979.8,5310.5,,,,,,,,,,,,2026-08-08T22:10:06.746897,USA,-70.74,-73.79,OVERSOLD,Strong BUY,False,,False,,0,–,False,[],False,OVERBOUGHT,3,False,7,100.0,False,--,False,False,2
LAC,LAC,--,--,3.23,USD,10.52,69.3,1172.3,10575.4,,,,,,,,,,,,2026-08-08T22:10:06.769389,USA,-86.64,-87.72,OVERSOLD,Strong BUY,False,,False,,0,–,False,[],False,OVERBOUGHT,4,False,7,100.0,False,--,False,False,2
OLED,OLED,--,--,91.19,USD,153.38,40.5,4191.7,766.5,,650.6,7.83,0.1189,0.011,0.7631,1.06,0.76,1.41,39.5,-24.8,2026-08-08T22:09:57.901299,USA,-39.4,-52.52,Bearish,Strong BUY,False,,False,,2,A,False,[],False,OVERBOUGHT,3,False,7,83.0,True,--,False,False,1
NUAI,NUAI,--,--,5.28,USD,9.44,44.1,534.8,8085.7,,,,,,,,,,,,2026-08-08T22:10:00.800090,USA,-37.92,-37.2,Bearish,Strong BUY,False,,False,,0,–,False,['UT High=7.30 Close=5.92 (vol 1.9x)'],False,Bullish,3,False,5,97.0,False,--,False,False,1
GLIBK,GLIBK,--,--,24.0,USD,41.17,41.7,957.7,839.5,,,,,,,,,,,,2026-08-08T22:10:02.337183,USA,-17.9,-36.03,Bearish,Strong BUY,False,,False,,2,A,False,[],False,OVERBOUGHT,12,False,5,89.0,False,--,False,False,1
TIGR,TIGR,--,--,4.82,USD,13.55,64.5,860.4,4359.4,,,,,,,,,,,,2026-08-08T22:10:06.772397,USA,-34.99,-42.47,Bearish,Strong BUY,False,,False,,2,A,False,[],False,Bearish,13,False,5,100.0,False,--,False,False,1
REI,REI,--,--,1.3,USD,2.0,35.0,338.7,5709.9,,,,,,,,,,,,2026-08-08T22:10:02.411268,USA,-24.16,-41.07,Bearish,Strong BUY,False,,False,,2,A,True,"['UT High=1.65 Close=1.58 (vol 1.7x)', 'SOW: vol spadkowy 1.3x > wzrostowy']",False,Bullish,5,False,2,66.7,False,--,False,False,2
CWH,CWH,--,--,6.32,USD,18.34,65.5,652.8,2428.0,,,,,,,,,,,,2026-08-08T22:09:59.377775,USA,-60.08,-57.62,OVERSOLD,Turning Up,False,,False,,0,–,False,[],False,Bullish,8,False,3,100.0,False,--,False,False,2
WOLF,WOLF,--,--,32.87,USD,80.82,59.3,1708.3,7006.2,,,,,,,-3.05,-5.5034,-2.3831,44.6,-28.0,2026-08-08T22:09:47.109585,USA,-73.96,-69.11,OVERSOLD,Turning Up,False,,False,,0,–,True,"['BC przy 69.89 (vol 2.4x)', 'UT High=80.82 Close=69.89 (vol 2.4x)']",False,Bullish,3,False,1,100.0,False,--,False,False,2
NVTS,NVTS,--,--,13.89,USD,34.17,59.4,3626.6,26288.6,,,,,,,,,,,,2026-08-08T22:10:06.785600,USA,-80.01,-75.79,OVERSOLD,Turning Up,False,,False,,0,–,True,"['BC przy 17.28 (vol 2.7x)', 'UT High=34.17 Close=25.08 (vol 1.8x)']",False,OVERBOUGHT,4,False,0,100.0,False,--,False,False,1
