### TradingView Watchlist – Full Scan
### Wygenerowano: 2026-09-10 15:17 UTC
### Liczba tickerow: 115
###
### ── Strong BUY (53) ──
SLBT  ### Strong BUY | -85.2% | W:⚠ Dist | MTF:-- | Fuzzy:68.4 | --
WCT  ### Strong BUY | -71.3% | W:SOS | MTF:2/5 | Fuzzy:100.0 | --
INDP  ### Strong BUY | -71.0% | W:⚠ Dist | MTF:3/5 | Fuzzy:100.0 | --
LUNR  ### Strong BUY | -67.7% | W:– | MTF:-- | Fuzzy:43.7 | --
SPCE  ### Strong BUY | -66.5% | W:⚠ Dist | MTF:-- | Fuzzy:48.6 | --
HQ  ### Strong BUY | -66.0% | W:– | MTF:-- | Fuzzy:50.0 | --
BTBT  ### Strong BUY | -64.3% | W:– | MTF:-- | Fuzzy:78.9 | --
BMBL  ### Strong BUY | -59.7% | W:– | MTF:1/5 M:RISK | Fuzzy:83.3* | --
SEDG  ### Strong BUY | -58.3% | W:Spring | MTF:-- | Fuzzy:51.4 | --
TSSI  ### Strong BUY | -58.0% | W:Spring | MTF:-- | Fuzzy:69.7 | --
HYLN  ### Strong BUY | -54.3% | W:⚠ Dist | MTF:-- | Fuzzy:52.6 | --
OSG  ### Strong BUY | -52.4% | W:SC | MTF:2/5 M:RISK | Fuzzy:100.0 | --
KEEL  ### Strong BUY | -51.2% | W:A+AR | MTF:-- | Fuzzy:48.2 | --
MARA  ### Strong BUY | -50.3% | W:– | MTF:-- | Fuzzy:67.4 | --
IPGP  ### Strong BUY | -49.4% | W:Spring | MTF:-- | Fuzzy:71.7 | --
STNE  ### Strong BUY | -48.5% | W:– | MTF:-- | Fuzzy:79.0 | --
OPTX  ### Strong BUY | -48.4% | W:⚠ Dist | MTF:-- | Fuzzy:40.3 | --
APLD  ### Strong BUY | -47.2% | W:Spring | MTF:-- | Fuzzy:43.6 | --
MIR  ### Strong BUY | -46.1% | W:Spring | MTF:-- | Fuzzy:73.6 | --
LPL  ### Strong BUY | -45.8% | W:Spring | MTF:-- | Fuzzy:26.3 | --
TTMI  ### Strong BUY | -44.8% | W:⚠ Dist | MTF:-- | Fuzzy:57.8 | --
WULF  ### Strong BUY | -43.6% | W:– | MTF:-- | Fuzzy:56.9 | --
GFUZ  ### Strong BUY | -42.3% | W:⚠ Dist | MTF:-- | Fuzzy:58.4 | --
CORZ  ### Strong BUY | -40.6% | W:– | MTF:-- | Fuzzy:33.5 | --
ASYS  ### Strong BUY | -40.5% | W:⚠ Dist | MTF:-- | Fuzzy:65.5 | --
DBI  ### Strong BUY | -39.6% | W:– | MTF:-- | Fuzzy:39.7 | --
NOK  ### Strong BUY | -38.8% | W:⚠ Dist | MTF:-- | Fuzzy:63.2 | --
BWXT  ### Strong BUY | -35.2% | W:– | MTF:-- | Fuzzy:67.3 | --
HUT  ### Strong BUY | -34.7% | W:– | MTF:-- | Fuzzy:65.2 | --
SUPV  ### Strong BUY | -34.6% | W:– | MTF:2/5 M:RISK | Fuzzy:82.7 | --
AKAM  ### Strong BUY | -33.4% | W:SC | MTF:-- | Fuzzy:56.7 | --
MTSI  ### Strong BUY | -33.4% | W:– | MTF:-- | Fuzzy:61.3 | --
CAMT  ### Strong BUY | -32.5% | W:– | MTF:2/5 | Fuzzy:67.2* | --
QCOM  ### Strong BUY | -31.9% | W:⚠ Dist | MTF:-- | Fuzzy:73.4 | --
VST  ### Strong BUY | -30.8% | W:– | MTF:-- | Fuzzy:26.1 | --
CLS  ### Strong BUY | -29.9% | W:– | MTF:-- | Fuzzy:58.0 | --
DOCN  ### Strong BUY | -29.7% | W:SOS | MTF:-- | Fuzzy:61.2 | --
INTC  ### Strong BUY | -28.5% | W:– | MTF:-- | Fuzzy:51.8 | --
GGAL  ### Strong BUY | -27.3% | W:SC | MTF:4/5 | Fuzzy:68.6* | --
SNEX  ### Strong BUY | -27.0% | W:Spring | MTF:-- | Fuzzy:26.0 | --
SBS  ### Strong BUY | -26.0% | W:– | MTF:-- | Fuzzy:45.8 | --
SWBI  ### Strong BUY | -24.9% | W:⚠ Dist | MTF:-- | Fuzzy:40.1 | --
UMC  ### Strong BUY | -23.4% | W:– | MTF:-- | Fuzzy:53.9 | --
SEI  ### Strong BUY | -23.3% | W:A+AR | MTF:-- | Fuzzy:33.8 | --
WMT  ### Strong BUY | -21.6% | W:– | MTF:-- | Fuzzy:35.9 | --
ARCO  ### Strong BUY | -17.4% | W:– | MTF:-- | Fuzzy:17.7 | --
TKO  ### Strong BUY | -16.7% | W:– | MTF:-- | Fuzzy:46.5 | --
ASO  ### Strong BUY | -15.7% | W:– | MTF:-- | Fuzzy:27.6 | --
ANDE  ### Strong BUY | -13.4% | W:– | MTF:-- | Fuzzy:13.2 | --
TS  ### Strong BUY | -12.4% | W:⚠ Dist | MTF:-- | Fuzzy:49.2 | --
ABEV  ### Strong BUY | -11.7% | W:– | MTF:-- | Fuzzy:59.4 | --
MO  ### Strong BUY | -11.0% | W:– | MTF:-- | Fuzzy:53.3 | --
GRDN  ### Strong BUY | -6.8% | W:A+AR | MTF:-- | Fuzzy:54.9 | --
### ── BUY (25) ──
ANGX  ### BUY | -74.6% | W:– | MTF:-- | Fuzzy:69.4 | --
ARQQ  ### BUY | -65.6% | W:⚠ Dist | MTF:-- | Fuzzy:100.0 | --
MLYS  ### BUY | -36.7% | W:– | MTF:-- | Fuzzy:59.3 | --
COHR  ### BUY | -30.9% | W:⚠ Dist | MTF:-- | Fuzzy:61.8 | --
LRCX  ### BUY | -30.7% | W:– | MTF:-- | Fuzzy:89.9 | --
FORM  ### BUY | -28.4% | W:⚠ Dist | MTF:-- | Fuzzy:60.9 | --
