ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
RAPP,RAPP,USA,--,--,37.07,USD,42.27,12.3,1772.9,346.5,46.05,45.91,OVERBOUGHT,BUY,,0.0,26.17,2026-05-17T12:03:45.321382
ACI,ACI,USA,--,--,16.4,USD,22.78,28.0,8110.4,6381.4,-46.93,-43.7,OVERSOLD,Turning Up,,83172.5,0.2,2026-05-17T12:03:45.585340
SLS,SLS,USA,--,--,7.08,USD,7.8,9.2,1317.1,6862.5,17.45,6.11,Bullish,BUY,,0.0,10.72,2026-05-17T12:03:45.852067
RUN,RUN,USA,--,--,13.99,USD,22.44,37.7,3337.3,10006.2,-26.26,-39.37,Bearish,Strong BUY,,2957.0,1.27,2026-05-17T12:03:46.198882
KYN,KYN,USA,--,--,14.39,USD,14.69,2.0,2433.7,417.6,21.04,13.88,Bullish,BUY,,-66.0,,2026-05-17T12:03:46.253052
TRT,TRT,USA,--,--,20.05,USD,21.38,6.2,202.8,984.8,46.49,42.26,OVERBOUGHT,BUY,,36.5,4.67,2026-05-17T12:03:46.341839
CAH,CAH,USA,--,--,195.2,USD,233.6,16.4,45717.0,1906.3,-61.8,-58.89,OVERSOLD,Turning Up,,222578.0,0.5,2026-05-17T12:03:46.446987
ABT,ABT,USA,--,--,84.47,USD,139.06,39.3,147131.0,12020.1,-91.22,-90.08,OVERSOLD,Turning Up,,44328.0,1.18,2026-05-17T12:03:46.449381
TXRH,TXRH,USA,--,--,177.97,USD,199.99,11.0,11697.9,1143.4,-10.94,-33.44,Bearish,Strong BUY,,5878.1,0.45,2026-05-17T12:03:46.487351
KNTK,KNTK,USA,--,--,51.27,USD,51.51,0.5,3773.6,1347.5,56.01,53.92,OVERBOUGHT,BUY,,1764.4,0.69,2026-05-17T12:03:46.822268
SONY,SONY,USA,--,--,22.31,USD,30.34,26.5,131808.8,6125.5,-32.72,-44.16,Bearish,Strong BUY,,12957064.0,0.57,2026-05-17T12:03:47.584955
FICO,FICO,USA,--,--,1098.59,USD,2217.6,50.5,25477.3,370.1,-38.24,-46.62,Bearish,Strong BUY,,1990.9,0.83,2026-05-17T12:03:47.682158
CELH,CELH,USA,--,--,30.16,USD,66.74,54.8,7710.1,7766.2,-85.31,-85.63,OVERSOLD,Strong BUY,,2515.3,1.37,2026-05-17T12:03:47.783220
USAS,USAS,USA,--,--,6.25,USD,10.5,40.5,2036.8,6350.8,-37.82,-42.6,Bearish,Strong BUY,,117.9,1.66,2026-05-17T12:03:48.079292
SID,SID,USA,--,--,1.26,USD,2.2,42.7,1675.5,5029.9,-34.33,-42.82,Bearish,Strong BUY,,,0.71,2026-05-17T12:03:48.179138
TM,TM,USA,--,--,190.68,USD,248.9,23.4,248520.5,364.8,-80.15,-79.38,OVERSOLD,Turning Up,,48036704.0,1.1,2026-05-17T12:03:48.185226
SIBN,SIBN,USA,--,--,14.16,USD,21.89,35.3,628.0,729.8,-34.04,-45.47,Bearish,Strong BUY,,200.9,7.21,2026-05-17T12:03:48.360244
CDRE,CDRE,USA,--,--,29.78,USD,48.76,38.9,1274.5,427.3,-73.58,-75.99,OVERSOLD,Strong BUY,,610.3,2.54,2026-05-17T12:03:48.418478
SCHW,SCHW,USA,--,--,90.88,USD,107.5,15.5,158052.6,10454.9,-64.65,-65.05,OVERSOLD,Strong BUY,,23921.0,,2026-05-17T12:03:48.607820
CNCK,CNCK,USA,--,--,2.03,USD,9.31,78.2,275.9,1015.8,-32.57,-43.53,Bearish,Strong BUY,,383330.0,1.07,2026-05-17T12:03:48.909963
CMCO,CMCO,USA,--,--,14.28,USD,24.4,41.5,410.4,405.3,-39.05,-44.84,Bearish,Strong BUY,,963.0,1.04,2026-05-17T12:03:49.005660
TKO,TKO,USA,--,--,190.07,USD,226.94,16.2,14249.1,1378.5,-63.04,-62.98,OVERSOLD,Turning Up,,4735.2,1.23,2026-05-17T12:03:49.178921
TPB,TPB,USA,--,--,89.56,USD,146.9,39.0,1734.6,502.0,-34.77,-47.11,Bearish,Strong BUY,,463.1,4.12,2026-05-17T12:03:49.388118
SENS,SENS,USA,--,--,5.77,USD,12.58,54.1,301.2,702.3,-51.08,-44.5,OVERSOLD,Turning Up,,35.3,4.55,2026-05-17T12:03:49.467829
EIKN,EIKN,USA,--,--,13.25,USD,17.4,23.9,717.3,355.4,-35.67,-50.3,Bearish,Strong BUY,,0.0,6.34,2026-05-17T12:03:49.603349
SEDG,SEDG,USA,--,--,61.76,USD,63.53,2.8,3756.1,4054.3,30.64,21.35,Bullish,BUY,,1184.4,1.48,2026-05-17T12:03:49.970650
WBI,WBI,USA,--,--,30.72,USD,30.87,0.5,1444.3,906.9,53.93,47.92,OVERBOUGHT,BUY,,525.6,1.38,2026-05-17T12:03:50.092196
EXK,EXK,USA,--,--,9.81,USD,15.15,35.2,2904.4,9896.5,-37.67,-42.66,Bearish,Strong BUY,,467.5,1.3,2026-05-17T12:03:50.176672
MMM,MMM,USA,--,--,146.22,USD,177.41,17.6,76263.6,3892.3,-55.05,-55.8,OVERSOLD,Strong BUY,,24948.0,1.33,2026-05-17T12:03:50.256965
SJM,SJM,USA,--,--,100.54,USD,119.39,15.8,10722.4,2227.1,-32.14,-42.63,Bearish,Strong BUY,,8726.1,0.35,2026-05-17T12:03:50.609963
VRTX,VRTX,USA,--,--,436.95,USD,507.92,14.0,110900.3,1283.9,-67.31,-69.47,OVERSOLD,Strong BUY,,12001.3,2.46,2026-05-17T12:03:50.883691
WTTR,WTTR,USA,--,--,18.96,USD,19.04,0.4,2357.8,2043.6,69.39,66.29,OVERBOUGHT,BUY,,1407.3,1.42,2026-05-17T12:03:51.054506
HPK,HPK,USA,--,--,7.1,USD,12.0,40.8,897.1,1034.6,6.15,7.38,Bullish,Turning Up,,863.4,1.1,2026-05-17T12:03:51.100106
RSG,RSG,USA,--,--,208.32,USD,258.75,19.5,64092.6,1574.1,-63.02,-60.99,OVERSOLD,Turning Up,,16591.0,0.62,2026-05-17T12:03:51.259430
